,,time,,,text
0,1467834239,Mon Apr 06 22:25:53 PDT 2009,NO_QUERY,mscha,"Today, thousands of young DREAMers are able to fully contribute to our communities and our economy.pic.twitter.com/szjWDVYm9X"
0,1467834265,Mon Apr 06 22:25:54 PDT 2009,NO_QUERY,mike_webster_au,It’s not too late. Senate leaders can still make this right and give Judge Garland an up-or-down vote.pic.twitter.com/ysc4UvluR0
0,1467834284,Mon Apr 06 22:25:54 PDT 2009,NO_QUERY,basiabeans,Damn... I don't have any chalk! MY CHALKBOARD IS USELESS 
0,1467834400,Mon Apr 06 22:25:56 PDT 2009,NO_QUERY,calihonda2001,Equality isn't a zero-sum game.pic.twitter.com/Gj2V95WzPO
0,1467834817,Mon Apr 06 22:26:02 PDT 2009,NO_QUERY,djwayneski,Five months is long enough. It's time for a fair hearing and an up-or-down vote.pic.twitter.com/PyMjLh8UJ8
0,1467835085,Mon Apr 06 22:26:06 PDT 2009,NO_QUERY,Ceejison,"My tummy hurts.  I wonder if the hypnosis has anything to do with it? If so, it's working, I get it, STOP SMOKING!!!"
0,1467835198,Mon Apr 06 22:26:08 PDT 2009,NO_QUERY,ItsBrigittaYo,We've accomplished so much as a movement—and it's thanks to the power of organizing.pic.twitter.com/9VIhARMNvL
0,1467835305,Mon Apr 06 22:26:10 PDT 2009,NO_QUERY,MissLaura317,Judge Garland has now waited 146 days. That's shameful—and irresponsible. #DoYourJobpic.twitter.com/JaP7YUQyOV
0,1467835345,Mon Apr 06 22:26:10 PDT 2009,NO_QUERY,RU_it_girl,@Hollywoodheat I should have paid more attention when we covered photoshop in my webpage design class in undergrad 
0,1467835577,Mon Apr 06 22:26:14 PDT 2009,NO_QUERY,viviana09,"""Team USA reminds the world why America always sets the gold standard."" —President Obamahttp://ofa.bo/2auHwRO "
0,1467835880,Mon Apr 06 22:26:18 PDT 2009,NO_QUERY,disneyfan4eva,President Obama reflects on his experience as a feminist—and his hopes to continue building toward gender equality.http://ofa.bo/2aB6Lrl 
0,1467836024,Mon Apr 06 22:26:21 PDT 2009,NO_QUERY,RoseMaryK,"pray for me please, the ex is threatening to start sh** at my/our babies 1st Birthday party. what a jerk. and I still have a headache "
0,1467836111,Mon Apr 06 22:26:22 PDT 2009,NO_QUERY,perrohunter,This is a good thing for American workers and businesses—but there's more work to do.pic.twitter.com/QGb6k0pwPr
0,1467836448,Mon Apr 06 22:26:27 PDT 2009,NO_QUERY,Dogbook,Our economy is continuing its comeback. Let's keep up the progress.pic.twitter.com/qUPGBzkqQ5
0,1467836500,Mon Apr 06 22:26:28 PDT 2009,NO_QUERY,natalieantipas,"so rylee,grace...wana go steve's party or not?? SADLY SINCE ITS EASTER I WNT B ABLE 2 DO MUCH  BUT OHH WELL....."
0,1467836576,Mon Apr 06 22:26:29 PDT 2009,NO_QUERY,timdonnelly,Keep that smile going strong. Wish President Obama a happy 55th birthday today: http://ofa.bo/2aycNcd pic.twitter.com/G2qXz14MS1
0,1467836583,Mon Apr 06 22:26:29 PDT 2009,NO_QUERY,homeworld,Make President Obama's last birthday in office extra special. Sign the card: http://ofa.bo/2aTo9WO  #TBTpic.twitter.com/eEqqEJ114i
0,1467836859,Mon Apr 06 22:26:33 PDT 2009,NO_QUERY,willy_chaz,A bad nite for the favorite teams: Astros and Spartans lose.  The nite out with T.W. was good.
0,1467836873,Mon Apr 06 22:26:33 PDT 2009,NO_QUERY,LeakySpoon,"Birthday game: stronger. 
Wish President Obama a happy 55th. http://ofa.bo/2aV0WSg pic.twitter.com/fs6mKxiGAf"
0,1467837189,Mon Apr 06 22:26:38 PDT 2009,NO_QUERY,cityrat59,The Clean Power Plan will cut carbon pollution from power plants by 32 percent by 2030. #ActOnClimatepic.twitter.com/UDp2Ti5ji1
0,1467837384,Mon Apr 06 22:26:42 PDT 2009,NO_QUERY,kenandise,Behind on my classes for work 
0,1467837470,Mon Apr 06 22:26:43 PDT 2009,NO_QUERY,annette414,"Step 1: Sign President Obama's birthday card. 
Step 2: Celebrate. http://ofa.bo/2asC8nW pic.twitter.com/9tW6bxDIiT"
0,1467837579,Mon Apr 06 22:26:45 PDT 2009,NO_QUERY,blackheartbunny,It has been a record-breaking 139 days since Judge Garland was nominated and still no hearing or vote. #DoYourJobpic.twitter.com/IX6RxQ300I
0,1467837602,Mon Apr 06 22:26:45 PDT 2009,NO_QUERY,GetGary,"@paradisej cool, i will. their are all kinds of complaints about this laptop online about overheating, but no recalls "
0,1467837762,Mon Apr 06 22:26:48 PDT 2009,NO_QUERY,Dogbook,"The Supreme Court still needs a ninth justice, but Senate leaders are still refusing to do their jobs. #DoYourJobpic.twitter.com/HmgNHkz7e8"
0,1467837819,Mon Apr 06 22:26:49 PDT 2009,NO_QUERY,SimoniNicole, Sign the card and wish President Obama a happy birthday.  http://ofa.bo/2azUsdv pic.twitter.com/0dkapeIOjR
0,1467837888,Mon Apr 06 22:26:52 PDT 2009,NO_QUERY,wireandroses,@Henkuyinepu it's overrated 
0,1467838188,Mon Apr 06 22:26:54 PDT 2009,NO_QUERY,jess_higley,It's been a record-breaking 135 days since President Obama nominated Judge Garland. The obstruction must end.pic.twitter.com/0P8jRkYUCq
0,1467838189,Mon Apr 06 22:26:54 PDT 2009,NO_QUERY,missannabanana,"We've made a lot of progress, but there's still more work to do.pic.twitter.com/CjniZ7ZTTn"
0,1467838362,Mon Apr 06 22:26:57 PDT 2009,NO_QUERY,Zella17,I'm sooo sad!!! they killed off Kutner on House  whyyyyyyyy
0,1467838419,Mon Apr 06 22:27:00 PDT 2009,NO_QUERY,polarna10,Judge Garland is a well qualified nominee. Senate leaders' refusal to even give him a hearing is unacceptable.pic.twitter.com/So0px3M6pr
0,1467838433,Mon Apr 06 22:26:58 PDT 2009,NO_QUERY,megan_rice,Let's be clear: #Obamacare is working and helping millions of Americans.pic.twitter.com/OVZqdsjkOn
0,1467838630,Mon Apr 06 22:27:02 PDT 2009,NO_QUERY,ashleyirvin,@salancaster  hope your ok.
0,1467839007,Mon Apr 06 22:27:08 PDT 2009,NO_QUERY,eyezup,Actively ignoring this epidemic is unacceptable. Congress has to act. #DisarmHatepic.twitter.com/n46r7RDnQI
0,1467839405,Mon Apr 06 22:27:15 PDT 2009,NO_QUERY,Jonas_Dreamgirl,Restoring the Supreme Court to full strength must remain above Senate leaders' petty politics. #DoYourJobpic.twitter.com/H5EWm5gQug
0,1467839450,Mon Apr 06 22:27:16 PDT 2009,NO_QUERY,BreannaBonana,ugh. cant sleep. its 1:30am. 
0,1467839477,Mon Apr 06 22:27:16 PDT 2009,NO_QUERY,becklyn13,"""Our economy is stronger today than it was before the crisis."" —President Obamahttp://ofa.bo/2a8qop4 "
0,1467839586,Mon Apr 06 22:27:18 PDT 2009,NO_QUERY,sonyolmos,A reminder for Senate leaders: Judge Garland has had strong bipartisan support in the past. #DoYourJobpic.twitter.com/dFjboU0TYX
0,1467839737,Mon Apr 06 22:27:21 PDT 2009,NO_QUERY,JenBah,Is pissed off that there's no ASBA's for a radio station. 
0,1467839816,Mon Apr 06 22:27:22 PDT 2009,NO_QUERY,viviana09,"By almost every economic measure, our economy is better off than it was eight years ago.pic.twitter.com/iWSkzgSIkG"
0,1467840016,Mon Apr 06 22:27:25 PDT 2009,NO_QUERY,BustaBusta,America’s businesses have created more than 14 million new private-sector jobs over 76 straight months.pic.twitter.com/e4a5X2bv0j
0,1467840386,Mon Apr 06 22:27:31 PDT 2009,NO_QUERY,MadameCrow,I am in pain. My back and sides hurt. Not to mention crying is made of fail. 
0,1467840552,Mon Apr 06 22:27:34 PDT 2009,NO_QUERY,weefranniev,Today marks 125 days since Judge Garland's nomination—the longest time in history from nomination to confirmation.pic.twitter.com/9qff6NdrmR
0,1467840629,Mon Apr 06 22:27:35 PDT 2009,NO_QUERY,ikimmyy,Watch President Obama deliver remarks at the #DallasMemorial service yesterday.http://www.snappytv.com/tc/2352062 
0,1467841189,Mon Apr 06 22:27:45 PDT 2009,NO_QUERY,yolie81,"@grum WAH I can't see clip, must be el-stupido work filters. Can't wait 'till I get a 'puter. Something else 2 blame ex 4. He broke mine "
0,1467841204,Mon Apr 06 22:27:45 PDT 2009,NO_QUERY,spacks,"""Just imagine the peace and justice that would be possible in our world if we all lived a little more like Elie Wiesel."" —President Obama"
0,1467841832,Mon Apr 06 22:27:55 PDT 2009,NO_QUERY,bgoers,Chicago raising its minimum wage is another reminder: Congress needs to keep up and #RaiseTheWage for hard-working Americans nationwide.
0,1467841885,Mon Apr 06 22:27:56 PDT 2009,NO_QUERY,MissPassion,@thecoolestout Ehhh don't. Weather's gonna take a turn for the ugly tomorrow 
0,1467841897,Mon Apr 06 22:27:56 PDT 2009,NO_QUERY,aaronrothe,"We can do more than thoughts, prayers, and moments of silence. Add your voice to call on Congress to #DisarmHate.http://ofa.bo/d674 "
0,1467841969,Mon Apr 06 22:27:57 PDT 2009,NO_QUERY,ilikeoreos,Stretch it out and get ready—the fundraising deadline is tonight. http://ofa.bo/gAL8 pic.twitter.com/rwNuTtdgKA
0,1467842107,Mon Apr 06 22:28:02 PDT 2009,NO_QUERY,wiccabuffy,"@Knights_ No, no notice. They told me I'd be working tomorrow, and then I called the agency to follow up and they said it was over. "
0,1467842299,Mon Apr 06 22:28:03 PDT 2009,NO_QUERY,HiKeri,"After Monday's #SCOTUS ruling, more unconstitutional restrictions on women's reproductive rights are falling.http://ofa.bo/b6BL "
0,1467842377,Mon Apr 06 22:28:04 PDT 2009,NO_QUERY,bnr0201,A new historic goal in the fight to #ActOnClimate.pic.twitter.com/sAu2fHdxAb
0,1467842448,Mon Apr 06 22:28:05 PDT 2009,NO_QUERY,R_Boucher,Agh...snow!!! 
0,1467842568,Mon Apr 06 22:28:07 PDT 2009,NO_QUERY,josiahmcdermott,"""She outworked her rivals ... and became a role model to millions of Americans—including our two daughters."" —President Obama on Pat Summitt"
0,1467842607,Mon Apr 06 22:28:09 PDT 2009,NO_QUERY,VanessaSingline,You don't need super powers to help push progress forward. Chip in today: http://ofa.bo/xaw pic.twitter.com/iHbjSMt3Ug
0,1467842832,Mon Apr 06 22:28:11 PDT 2009,NO_QUERY,varunkumar,"...and, India missed out its 100th Test victory n 10th consecutive win without a loss. "
0,1467842837,Mon Apr 06 22:28:11 PDT 2009,NO_QUERY,JenniOnTheBlock,The Supreme Court just struck down Texas' overly restrictive abortion laws—a win for women's reproductive rights.http://ofa.bo/d65w 
0,1467843075,Mon Apr 06 22:28:15 PDT 2009,NO_QUERY,darkninja757,We must keep working toward an America free from discrimination against LGBT individuals. #LoveIsLovepic.twitter.com/YxdiL21fIl
0,1467843215,Mon Apr 06 22:28:18 PDT 2009,NO_QUERY,mikecogh,@ozesteph1992 Shame to hear this Stephan 
0,1467843470,Mon Apr 06 22:28:21 PDT 2009,NO_QUERY,KandiConnection,"""We can’t rest. We’ve got to keep pushing for equality and acceptance and tolerance."" —President Obamahttp://ofa.bo/d65e "
0,1467843568,Mon Apr 06 22:28:23 PDT 2009,NO_QUERY,joechummer,Marriage equality is one year old. But we still have a long way to go for full equality. #LoveIsLovepic.twitter.com/nwM1XFHKzG
0,1467843624,Mon Apr 06 22:28:24 PDT 2009,NO_QUERY,kellireneez,laid around too much today... now my head hurts 
0,1467843647,Mon Apr 06 22:28:24 PDT 2009,NO_QUERY,treehugger25,"""Stonewall will be our first national monument to tell the story of the struggle for LGBT rights."" —President Obamahttp://ofa.bo/uaC "
0,1467843734,Mon Apr 06 22:28:26 PDT 2009,NO_QUERY,chatpataa,"A few words used by leading legal minds to describe Judge Garland:
Phenomenal
Exceptionally bright
Fair-mindedpic.twitter.com/BqmzlabZlZ"
0,1467843740,Mon Apr 06 22:28:26 PDT 2009,NO_QUERY,ThisStoutjunt,My mom might have breast cancer won't find out anything for. Like a week I'm so worried! 
0,1467844097,Mon Apr 06 22:28:33 PDT 2009,NO_QUERY,sew_cute,Congress: Listen to the millions of voices demanding a vote on efforts to reduce gun violence. #DisarmHatepic.twitter.com/X2uYxbJSs0
0,1467844140,Mon Apr 06 22:28:32 PDT 2009,NO_QUERY,Twokids1,We need more than moments of silence. We need action. And that's what's going on in the House now: http://ofa.bo/yc8  #NoBillNoBreak
0,1467844157,Mon Apr 06 22:28:32 PDT 2009,NO_QUERY,AKyarnie,@onemoreproject that is lame 
0,1467844505,Mon Apr 06 22:28:38 PDT 2009,NO_QUERY,luimoral85,"""To me, fatherhood means being there."" —President Obamahttp://ofa.bo/e63s "
0,1467844540,Mon Apr 06 22:28:38 PDT 2009,NO_QUERY,ceironous,Happy Father's Day to all the dads out there.pic.twitter.com/okqSRnQk6n
0,1467844907,Mon Apr 06 22:28:45 PDT 2009,NO_QUERY,brandonmcb,Living not downtown sure isn't much fun.  
0,1467845095,Mon Apr 06 22:28:48 PDT 2009,NO_QUERY,mannyrique,"This week, people all over the world came together to stand with the LGBT community—take a look:http://ofa.bo/jAG1 "
